ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
ASUS Vivobook 14 (2022) Core i3 12th Gen,4.2,47,6,49990,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/o/z/-original-imagg6t9zfyzzeqg.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,1674,189,44276,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,4.5,642,92,45990,62990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,525,69,53490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
ASUS Vivobook 15 Core i5 11th Gen,4.2,236,23,47990,69990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,4.5,17,4,48490,68990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70
ASUS VivoBook 14 Core i3 12th Gen,4,45,7,47990,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/1/g/-original-imagg6t9hmxg6ndz.jpeg?q=70
Lenovo V15 G2 Core i3 11th Gen,4.1,256,16,39699,59760,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,2090,211,47990,55691,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
ASUS VivoBook 15 (2021) Core i5 10th Gen,4.3,574,55,45990,64990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
ASUS VivoBook Flip 14 Core i3 11th Gen,4.1,179,27,49990,67990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kkyc9zk0/computer/j/z/b/na-2-in-1-laptop-asus-original-imagy6zh6zq2npfx.jpeg?q=70
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen,4.6,44,9,52500,66990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, TUV Rheinland-certified,Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/q/-original-imaghsggzmjg7qgn.jpeg?q=70
DELL Core i3 12th Gen,0,0,0,50090,64133,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/9/5/r/inspiron-3525-thin-and-light-laptop-dell-original-imagczzfezyd7tqs.jpeg?q=70
DELL Inspiron Ryzen 5 Dual Core 3450U,4.1,72,9,45890,62422,Processor: AMD Ryzen 5-3450U (2.10 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 512GB SSD,Display: 15.6" FHD WVA AG Narrow Border,https://rukminim1.flixcart.com/image/312/312/l45xea80/computer/w/j/c/-original-imagf4htystubbsg.jpeg?q=70
ASUS VivoBook Flip 14 Core i3 11th Gen,4.1,179,27,49990,69990,Intel Core i3 Processor (11th Gen),8 GB LPDDR4X RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,525,69,53490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
DELL Inspiron Core i5 11th Gen,4.2,17,3,49890,90783,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ko8xtow0/computer/j/q/r/na-thin-and-light-laptop-dell-original-imag2qm3x6zhexrf.jpeg?q=70
ASUS Core i5 11th Gen,4.8,6,0,49990,65990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/f/e/k513ep-bq1092t-thin-and-light-laptop-asus-original-imagm5u2cmnannpd.jpeg?q=70
ASUS Vivobook 14 Core i5 10th Gen,3.7,13,3,48990,73990,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5jxt3k0/computer/o/t/v/vivobook-notebook-asus-original-imagg763qstjsura.jpeg?q=70
Lenovo V15 G2 Core i3 11th Gen,4.1,256,16,39699,59760,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/t/c/v15-g2-alc-laptop-lenovo-original-imaghq2ffspmtfuh.jpeg?q=70
DELL Core i3 11th Gen,0,0,0,45990,60441,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/o/d/-original-imaghum8xyzz5dm2.jpeg?q=70
